Year,State,District,Republican,Democrat
2004,Connecticut,2,166412,140536
2004,Connecticut,3,69160,200638
2004,Connecticut,4,152493,138333
2004,Connecticut,5,168268,107438
2004,Connecticut,Senate,457749,945347
2004,Connecticut,President,693826,857488
2004,Florida,1,236604,72506
2004,Florida,2,125399,201577
2004,Florida,3,105202*,172833
2004,Florida,4,256157,123538*
2004,Florida,5,240315,124140
2004,Florida,6,211137,116680
2004,Florida,7,207890*,119891*
2004,Florida,8,172232,112343
2004,Florida,9,284035,149648*
2004,Florida,10,207175,91658
2004,Florida,11,94530*,191780
2004,Florida,12,179204,96965
2004,Florida,13,190477,153961
2004,Florida,14,226662,108672
2004,Florida,15,210388,111538
2004,Florida,16,215563,101247
2004,Florida,17,30304*,178690
2004,Florida,18,143647,78281
2004,Florida,19,75481*,186865*
2004,Florida,20,81213,191195
2004,Florida,21,146507,103149*
2004,Florida,22,192581,108258
2004,Florida,23,24813*,96831*
2004,Florida,24,189631*,153185*
2004,Florida,25,137022*,100028*
2004,Florida,Senate,3672864,3590201
2004,Florida,President,3964522,3583544
2004,Georgia,1,188347,81873*
2004,Georgia,2,64645,129984
2004,Georgia,3,80435,136273
2004,Georgia,4,89509,157461
2004,Georgia,5,71929*,201773
2004,Georgia,6,267542,96058*
2004,Georgia,7,258982,112407*
2004,Georgia,8,227524,73632
2004,Georgia,9,197869,68462
2004,Georgia,10,219136,117221*
2004,Georgia,11,120696,89591
2004,Georgia,12,105132,113036
2004,Georgia,13,84684*,170657
2004,Georgia,Senate,1864202,1287690
2004,Georgia,President,1914254,1366149
2004,Hawaii,1,69371,128567
2004,Hawaii,2,79072,133317
2004,Hawaii,Senate,87172,313629
2004,Hawaii,President,194191,231708
2004,Idaho,1,207662,90927
2004,Idaho,2,193704,80133
2004,Idaho,Senate,499796,
2004,Idaho,President,409235,181098
2004,Illinois,1,37840,212109
2004,Illinois,2,33208*,207535
2004,Illinois,3,57845,167034
2004,Illinois,4,15536,104761
2004,Illinois,5,49530,158400
2004,Illinois,6,139627,110470
2004,Illinois,7,35603,221133
2004,Illinois,8,130601,139792
2004,Illinois,9,56135,175282
2004,Illinois,10,177493,99218
2004,Illinois,11,173057,121903
2004,Illinois,12,82677,198962
2004,Illinois,13,200472,107836
2004,Illinois,14,191618,87590
2004,Illinois,15,178114,113625
2004,Illinois,16,204350,91452
2004,Illinois,17,111680,172320
2004,Illinois,18,216047,91548
2004,Illinois,19,213451,94303
2004,Illinois,Senate,1390690,3597456
2004,Illinois,President,2345946,2891550
2004,Indiana,1,82858,178406
2004,Indiana,2,140496,115513
2004,Indiana,3,171389,76232
2004,Indiana,4,190445,77574
2004,Indiana,5,228718,82637
2004,Indiana,6,182529,85123
2004,Indiana,7,97491,121303
2004,Indiana,8,145576,121522
2004,Indiana,9,142197,140772
2004,Indiana,Senate,903913,1496976
2004,Indiana,President,1479438,969011
2004,Iowa,1,159993,125490
2004,Iowa,2,176684,117405
2004,Iowa,3,136099,168007
2004,Iowa,4,181294,116121
2004,Iowa,5,168583,97597
2004,Iowa,Senate,1038175,412365
2004,Iowa,President,751957,741898
2004,Kansas,1,239776,57269*
2004,Kansas,2,165325,121532
2004,Kansas,3,145542,184050
2004,Kansas,4,173151,81388
2004,Kansas,Senate,780863,310337
2004,Kansas,President,736456,434993
2004,Kentucky,1,175972,85229
2004,Kentucky,2,185394,87585
2004,Kentucky,3,197736,124040
2004,Kentucky,4,160982,129876
2004,Kentucky,5,177579,54572*
2004,Kentucky,6,119716,175355
2004,Kentucky,Senate,873507,850855
2004,Kentucky,President,1069439,712733
2004,Louisiana,1,233683,54214
2004,Louisiana,2,46097,173510
2004,Louisiana,3,57042,57611
2004,Louisiana,4,97310*,53054*
2004,Louisiana,5,179466,58591
2004,Louisiana,6,189106,72763
2004,Louisiana,7,75039,61493
2004,Louisiana,Senate,943014,877482
2004,Louisiana,President,1102169,820299
2004,Maine,1,147663,219077
2004,Maine,2,135547,199303
2004,Maine,President,330201,396842
2004,Maryland,1,245149,77872
2004,Maryland,2,75812,164751
2004,Maryland,3,97008,182066
2004,Maryland,4,52907,196809
2004,Maryland,5,87189,204867
2004,Maryland,6,206076,90108
2004,Maryland,7,60102,179189
2004,Maryland,8,71989,215129
2004,Maryland,Senate,783055,1504691
2004,Maryland,President,1024703,1334493
2004,Massachusetts,1,108368*,229465
2004,Massachusetts,2,151271*,217682
2004,Massachusetts,3,80197,192036
2004,Massachusetts,4,122550*,219260
2004,Massachusetts,5,88232,179652
2004,Massachusetts,6,91597,213458
2004,Massachusetts,7,60334,202399
2004,Massachusetts,8,35181*,165852
2004,Massachusetts,9,71539*,218167
2004,Massachusetts,10,114879,222013
2004,Massachusetts,President,1071109,1803800
2004,Michigan,1,105706,211571
2004,Michigan,2,225343,94040
2004,Michigan,3,214465,101395
2004,Michigan,4,205274,110885
2004,Michigan,5,96934,208163
2004,Michigan,6,197425,97978
2004,Michigan,7,176053,109527
2004,Michigan,8,207925,125619
2004,Michigan,9,199210,134764
2004,Michigan,10,227720,98029
2004,Michigan,11,186431,134301
2004,Michigan,12,88256,210827
2004,Michigan,13,40935,173246
2004,Michigan,14,35089,213681
2004,Michigan,15,81828,218409
2004,Michigan,President,2313746,2479183
2004,Minnesota,1,193132,115088
2004,Minnesota,2,206313,147527
2004,Minnesota,3,231871,126665
2004,Minnesota,4,105467,182387
2004,Minnesota,5,76600,218434
2004,Minnesota,6,203669,173309
2004,Minnesota,7,106349,207628
2004,Minnesota,8,112693,228586
2004,Minnesota,President,1346695,1445014
2004,Mississippi,1,219328,142065*
2004,Mississippi,2,107647,154626
2004,Mississippi,3,234874,125107*
2004,Mississippi,4,96740,179979
2004,Mississippi,President,672660,457766
2004,Missouri,1,64791,213658
2004,Missouri,2,228725,115366
2004,Missouri,3,125422,146894
2004,Missouri,4,93334,190800
2004,Missouri,5,123431,161727
2004,Missouri,6,196516,106987
2004,Missouri,7,210080,84356
2004,Missouri,8,194039,71543
2004,Missouri,9,193429,101343
2004,Missouri,Senate,1518089,1158261
2004,Missouri,President,1455713,1259171
2004,Nebraska,1,143756,113971
2004,Nebraska,2,152608,90292
2004,Nebraska,3,218751,26434
2004,Nebraska,President,512814,254328
2004,Nevada,1,63005,133569
2004,Nevada,2,195466,79978
2004,Nevada,3,162240,120365
2004,Nevada,Senate,284640,494805
2004,Nevada,President,418690,397190
2004,New Hampshire,1,204836,118226
2004,New Hampshire,2,191188,125280
2004,New Hampshire,Senate,434847,221549
2004,New Hampshire,President,331237,340511
2004,New Jersey,1,66109,201163
2004,New Jersey,2,172779,86792
2004,New Jersey,3,195938,107034
2004,New Jersey,4,192671,92826
2004,New Jersey,5,171220,122259
2004,New Jersey,6,70942,153981
2004,New Jersey,7,162597,119081
2004,New Jersey,8,62747,152001
2004,New Jersey,9,68564,146038
2004,New Jersey,10,20630*,155697
2004,New Jersey,11,200915,91811
2004,New Jersey,12,115014,171691
2004,New Jersey,13,35288,121018
2004,New Jersey,President,1670003,1911430
2004,New Mexico,1,147372,123339
2004,New Mexico,2,130498,86292
2004,New Mexico,3,79935,175269
2004,New Mexico,President,376930,370942
2004,New York,1,110786,140878
2004,New York,2,72953,147197
2004,New York,3,151323,100737
2004,New York,4,85505,148615
2004,New York,5,43002,114132
2004,New York,6,14788*,125127
2004,New York,7,21843,100382
2004,New York,8,35177,154098
2004,New York,9,39648,108577
2004,New York,10,11099,130265
2004,New York,11,12909*,134175
2004,New York,12,15697,100402
2004,New York,13,102713,72180
2004,New York,14,41936,175886
2004,New York,15,12355,153099
2004,New York,16,4917,106739
2004,New York,17,40524,135344
2004,New York,18,73975,159072
2004,New York,19,152051,87429
2004,New York,20,163343,96630
2004,New York,21,80121,167247
2004,New York,22,81881,148588
2004,New York,23,136222,66448
2004,New York,24,128493,85140
2004,New York,25,155163,72587*
2004,New York,26,137425,116484
2004,New York,27,125275,127267
2004,New York,28,48981,150431
2004,New York,29,136883,104555
2004,New York,Senate,1625069,4384907
2004,New York,President,2806993,4180755
2004,North Carolina,1,77508,137667
2004,North Carolina,2,87811,145079
2004,North Carolina,3,171863,71227
2004,North Carolina,4,121717,217441
2004,North Carolina,5,167546,117271
2004,North Carolina,6,207470,76153
2004,North Carolina,7,66084,180382
2004,North Carolina,8,125070,100101
2004,North Carolina,9,210783,89318
2004,North Carolina,10,157884,88233
2004,North Carolina,11,159709,131188
2004,North Carolina,12,76898,154908
2004,North Carolina,13,112788,160896
2004,North Carolina,President,1961166,1525849
2004,Ohio,1,173430,116235
2004,Ohio,2,227102,89598
2004,Ohio,3,197290,119448
2004,Ohio,4,167807,118538
2004,Ohio,5,196649,96656
2004,Ohio,6,158146*,223842
2004,Ohio,7,186534,100617
2004,Ohio,8,201675,90574
2004,Ohio,9,95983,205149
2004,Ohio,10,96463,172406
2004,Ohio,11,48822*,222371
2004,Ohio,12,198912,122109
2004,Ohio,13,97090,201004
2004,Ohio,14,201652,119714
2004,Ohio,15,166520,110915
2004,Ohio,16,202544,101817
2004,Ohio,17,62871,212800
2004,Ohio,18,177600,90820
2004,Ohio,Senate,3464356,1961171
2004,Ohio,President,2859764,2741165
2004,Oklahoma,1,187145,116731
2004,Oklahoma,2,92963,179579
2004,Oklahoma,3,215510,78105*
2004,Oklahoma,4,198985,118943*
2004,Oklahoma,5,180430,92719
2004,Oklahoma,Senate,763433,596750
2004,Oklahoma,President,959792,503966
2004,Oregon,1,135164,203771
2004,Oregon,2,248461,88914
2004,Oregon,3,82045,245559
2004,Oregon,4,140882,228611
2004,Oregon,5,154993,184833
2004,Oregon,Senate,565254,1128728
2004,Oregon,President,866831,943163
2004,Pennsylvania,1,33266,214462
2004,Pennsylvania,2,34411,253226
2004,Pennsylvania,3,166580,110684
2004,Pennsylvania,4,204329,116303
2004,Pennsylvania,5,192852,113286*
2004,Pennsylvania,6,160348,153977
2004,Pennsylvania,7,196556,134932
2004,Pennsylvania,8,183229,143427
2004,Pennsylvania,9,184320,80787
2004,Pennsylvania,10,191967,155946*
2004,Pennsylvania,11,131612*,171147
2004,Pennsylvania,12,132249*,204504
2004,Pennsylvania,13,127205,171763
2004,Pennsylvania,14,90162*,220139
2004,Pennsylvania,15,170634,114646
2004,Pennsylvania,16,183620,98410
2004,Pennsylvania,17,113592,172412
2004,Pennsylvania,18,197894,117420
2004,Pennsylvania,19,224274,99508*
2004,Pennsylvania,Senate,2925080,2334126
2004,Pennsylvania,President,2793847,2938095
2004,Rhode Island,1,69819,124923
2004,Rhode Island,2,43139,154392
2004,Rhode Island,President,169046,259760
2004,South Carolina,1,186448,120378*
2004,South Carolina,2,181862,93249
2004,South Carolina,3,191052,97753*
2004,South Carolina,4,188795,78376
2004,South Carolina,5,89568,152867
2004,South Carolina,6,75443,161987
2004,South Carolina,Senate,857167,704384
2004,South Carolina,President,937974,661699
2004,Tennessee,1,172543,56361
2004,Tennessee,2,215795,52155
2004,Tennessee,3,166154,84295
2004,Tennessee,4,109993,138459
2004,Tennessee,5,74978,168970
2004,Tennessee,6,87523,167448
2004,Tennessee,7,232404,95683*
2004,Tennessee,8,59853,173623
2004,Tennessee,9,41578,190648
2004,Tennessee,President,1384375,1036477
2004,Texas,1,157068,96281
2004,Texas,2,139951,108156
2004,Texas,3,180099,88301*
2004,Texas,4,182866,81585
2004,Texas,5,148816,75911
2004,Texas,6,168767,83609
2004,Texas,7,175440,91126
2004,Texas,8,179599,77324
2004,Texas,9,42132,114462
2004,Texas,10,182113,122266*
2004,Texas,11,177291,50339
2004,Texas,12,173222,66316
2004,Texas,13,189448,54178*
2004,Texas,14,173668,81390*
2004,Texas,15,67917,96089
2004,Texas,16,49972,108577
2004,Texas,17,116049,125309
2004,Texas,18,39932*,136018
2004,Texas,19,136459,93531
2004,Texas,20,54976,112480
2004,Texas,21,209774,121129
2004,Texas,22,150386,112034
2004,Texas,23,170716,72480
2004,Texas,24,154435,82599
2004,Texas,25,49252,108309
2004,Texas,26,180519,89809
2004,Texas,27,61955,112081
2004,Texas,28,69538,106323
2004,Texas,29,30291*,78256
2004,Texas,30,36649*,144513
2004,Texas,31,160247,80292
2004,Texas,32,109859,89030
2004,Texas,President,4526917,2832704
2004,Utah,1,199615,85630
2004,Utah,2,147778,187250
2004,Utah,3,173010,88748
2004,Utah,Senate,626640,258955
2004,Utah,President,663742,241199
2004,Virginia,1,225071,137481*
2004,Virginia,2,132946,108180
2004,Virginia,3,70194,159373
2004,Virginia,4,182444,100413
2004,Virginia,5,172431,98237
2004,Virginia,6,206560,122816*
2004,Virginia,7,230765,123195*
2004,Virginia,8,106231,171986
2004,Virginia,9,98499,150039
2004,Virginia,10,205982,116654
2004,Virginia,11,186299,118305
2004,Virginia,President,1716959,1454742
2004,Washington,1,117850,204121
2004,Washington,2,106333,202383
2004,Washington,3,119027,193626
2004,Washington,4,154627,92486
2004,Washington,5,179600,121333
2004,Washington,6,91228,202919
2004,Washington,7,65226,272302
2004,Washington,8,173298,157148
2004,Washington,9,88304,162433
2004,Washington,Senate,1204584,1549708
2004,Washington,President,1304894,1510201
2004,West Virginia,1,79196,166583
2004,West Virginia,2,147676,106131
2004,West Virginia,3,76170,142682
2004,West Virginia,President,423778,326541
2004,Wisconsin,1,233372,116250
2004,Wisconsin,2,145810,251637
2004,Wisconsin,3,157866,204856
2004,Wisconsin,4,85928,212382
2004,Wisconsin,5,271153,129384
2004,Wisconsin,6,238620,107209
2004,Wisconsin,7,169285*,241306
2004,Wisconsin,8,248070,105513
2004,Wisconsin,Senate,1301183,1632697
2004,Wisconsin,President,1478120,1489504
2002,Alabama,1,108102,67507
2002,Alabama,2,129233,55495
2002,Alabama,3,91169,87351
2002,Alabama,4,139705,50844*
2002,Alabama,5,48226,143029
2002,Alabama,6,178171,53220*
2002,Alabama,7,54690*,153735
2002,Alabama,Senate,792561,538878
2002,Arizona,1,85967,79730
2002,Arizona,2,100359,61217
2002,Arizona,3,104847,47173
2002,Arizona,4,18381,44517
2002,Arizona,5,103870,61559
2002,Arizona,6,103094,49355
2002,Arizona,7,38474,61256
2002,Arizona,8,126930,67328
2002,Arkansas,1,64357,129701
2002,Arkansas,2,97778*,142752
2002,Arkansas,3,141478,75557*
2002,Arkansas,4,77904,119633
2002,Arkansas,Senate,370735,433386
2002,California,1,60013,118669
2002,California,2,117747,52455
2002,California,3,121732,67136
2002,California,4,147997,72860
2002,California,5,34749,92726
2002,California,6,62052,139750
2002,California,7,36584,97849
2002,California,8,20063,127684
2002,California,9,25333,135893
2002,California,10,67552,126390
2002,California,11,104921,69035
2002,California,12,38381,105597
2002,California,13,26852,86495
2002,California,14,48346,117055
2002,California,15,41251,87482
2002,California,16,32182,72370
2002,California,17,40334,101632
2002,California,18,47528,56181
2002,California,19,106209,47403
2002,California,20,25628,47627
2002,California,21,87544,32584
2002,California,22,120473,38988
2002,California,23,62604,95752
2002,California,24,120585,58755
2002,California,25,80775,38674
2002,California,26,95360,50081
2002,California,27,48996,79815
2002,California,28,23926,73771
2002,California,29,40616,76036
2002,California,30,54989,130604
2002,California,31,12674,54569
2002,California,32,23366,58530
2002,California,33,16699,97779
2002,California,34,17090,48734
2002,California,35,18094,72401
2002,California,36,50328,88198
2002,California,37,20154,63445
2002,California,38,23126,62600
2002,California,39,38925,52256
2002,California,40,92422,40265
2002,California,41,91326,40155
2002,California,42,98476,42090
2002,California,43,20821,45374
2002,California,44,76686,38021
2002,California,45,87101,43692
2002,California,46,108807,60890
2002,California,47,24346,42501
2002,California,48,122884,51058
2002,California,49,94594,52580*
2002,California,50,111095,55855
2002,California,51,40430,59541
2002,California,52,118561,43526
2002,California,53,43891,72252
2002,Colorado,1,49884,111718
2002,Colorado,2,75564,123504
2002,Colorado,3,143433,68160
2002,Colorado,4,115359,87499
2002,Colorado,5,128118,45587
2002,Colorado,6,158851,71327
2002,Colorado,7,81789,81668
2002,Colorado,Senate,717893,648130
2002,Connecticut,1,66968,134698
2002,Connecticut,2,117434,99674
2002,Connecticut,3,54757,121557
2002,Connecticut,4,113197,62491
2002,Connecticut,5,113626,90616
2002,Florida,1,152635,51972
2002,Florida,2,75275,152164
2002,Florida,3,60747,88462
2002,Florida,4,171152,82542*
2002,Florida,5,121998,117758
2002,Florida,6,141570,75046
2002,Florida,7,142147,96444
2002,Florida,8,123497,66099
2002,Florida,9,169369,67623
2002,Florida,10,130562*,68876*
2002,Florida,11,44797*,90884*
2002,Florida,12,89096*,58104*
2002,Florida,13,139048,114739
2002,Florida,14,161459*,74076*
2002,Florida,15,146414,85433
2002,Florida,16,176171,112570*
2002,Florida,17,19291*,113749
2002,Florida,18,103512,42852
2002,Florida,19,60477,156747
2002,Florida,20,67749*,103113*
2002,Florida,21,65931*,46420*
2002,Florida,22,131930,83265
2002,Florida,23,27986,96347
2002,Florida,24,135576,83667
2002,Florida,25,81845,44757
2002,Georgia,1,103661,40026
2002,Georgia,2,58495*,102925
2002,Georgia,3,73866,75394
2002,Georgia,4,35202,118045
2002,Georgia,5,41445*,116259
2002,Georgia,6,163525,41204
2002,Georgia,7,138997,37124
2002,Georgia,8,142505,39422
2002,Georgia,9,123313,45974
2002,Georgia,10,129242,69134*
2002,Georgia,11,69427,65007
2002,Georgia,12,77479,62904
2002,Georgia,13,47405,70011
2002,Georgia,Senate,1071352,932422
2002,Hawaii,1,45032,131673
2002,Hawaii,2,71661,100671
2002,Idaho,1,120743,80269
2002,Idaho,2,135605,57769
2002,Idaho,Senate,266215,132975
2002,Illinois,1,29776,149068
2002,Illinois,2,32567,151443
2002,Illinois,3,49991*,156042
2002,Illinois,4,12778,67339
2002,Illinois,5,46008,106514
2002,Illinois,6,113174,60698
2002,Illinois,7,25280,137933
2002,Illinois,8,95275,70626
2002,Illinois,9,45307,118642
2002,Illinois,10,128611,58300
2002,Illinois,11,124192,68893
2002,Illinois,12,58440,131580
2002,Illinois,13,139546,59069
2002,Illinois,14,135198,47165
2002,Illinois,15,134650,64131
2002,Illinois,16,133339,55488
2002,Illinois,17,76519,127093
2002,Illinois,18,192567,91502*
2002,Illinois,19,133956,110517
2002,Illinois,Senate,1325703,2103766
2002,Indiana,1,41909,90443
2002,Indiana,2,95081,86253
2002,Indiana,3,92566,50509
2002,Indiana,4,112760,41314
2002,Indiana,5,129442,45283
2002,Indiana,6,118436,63871
2002,Indiana,7,64379,77478
2002,Indiana,8,98952,88763
2002,Indiana,9,87169,96654
2002,Iowa,1,112280,83779
2002,Iowa,2,108130,94767
2002,Iowa,3,97285,115367
2002,Iowa,4,115430,90784
2002,Iowa,5,113257,68853
2002,Iowa,Senate,447892,554278
2002,Kansas,1,189976,45374*
2002,Kansas,2,127477,79160
2002,Kansas,3,102882,110095
2002,Kansas,4,115691,70656
2002,Kansas,Senate,641075,
2002,Kentucky,1,117600,62617
2002,Kentucky,2,122773,51431
2002,Kentucky,3,118228,110846
2002,Kentucky,4,81651,87776
2002,Kentucky,5,137986,38254
2002,Kentucky,6,115622,103629*
2002,Kentucky,Senate,731679,399634
2002,Louisiana,1,174614,46190*
2002,Louisiana,2,15440,122927
2002,Louisiana,3,130323,122770*
2002,Louisiana,4,114649,42340
2002,Louisiana,5,85744,86718
2002,Louisiana,6,146932,82324*
2002,Louisiana,7,21051*,138659
2002,Louisiana,Senate,596642,638654
2002,Maine,1,97931,172646
2002,Maine,2,107849,116868
2002,Maine,Senate,295041,209858
2002,Maryland,1,192004,57986
2002,Maryland,2,88954,105718
2002,Maryland,3,75721,145589
2002,Maryland,4,34890,131644
2002,Maryland,5,60758,137903
2002,Maryland,6,147825,75575
2002,Maryland,7,49172,137047
2002,Maryland,8,103587,112788
2002,Massachusetts,1,66061,137841
2002,Massachusetts,2,106591*,153387
2002,Massachusetts,3,84608*,155697
2002,Massachusetts,4,92852*,166125
2002,Massachusetts,5,69337,122562
2002,Massachusetts,6,75462,162900
2002,Massachusetts,7,62956*,170968
2002,Massachusetts,8,23728*,111861
2002,Massachusetts,9,55107*,168055
2002,Massachusetts,10,79624,179238
2002,Massachusetts,Senate,,1605976
2002,Michigan,1,69254,150701
2002,Michigan,2,156937,61749
2002,Michigan,3,153131,61987
2002,Michigan,4,149090,65950
2002,Michigan,5,77042*,158709
2002,Michigan,6,126936,53793
2002,Michigan,7,121142,78412
2002,Michigan,8,156525,70920
2002,Michigan,9,141102,96856
2002,Michigan,10,137339,77053
2002,Michigan,11,126050,87402
2002,Michigan,12,61502,140970
2002,Michigan,13,29246*,120869
2002,Michigan,14,26544,145285
2002,Michigan,15,48626,136518
2002,Michigan,Senate,1185545,1896614
2002,Minnesota,1,163570,92165
2002,Minnesota,2,152970,121121
2002,Minnesota,3,213334,82575
2002,Minnesota,4,89705,164597
2002,Minnesota,5,66271,171572
2002,Minnesota,6,164747,100738
2002,Minnesota,7,90342,170234
2002,Minnesota,8,88673,194909
2002,Minnesota,Senate,1116697,1078627
2002,Mississippi,1,95404,32318
2002,Mississippi,2,69711,89913
2002,Mississippi,3,139329,76184
2002,Mississippi,4,34373,121742
2002,Mississippi,Senate,533269,
2002,Missouri,1,51755,133946
2002,Missouri,2,167057,77223
2002,Missouri,3,80551,122181
2002,Missouri,4,64451,142204
2002,Missouri,5,60245,122645
2002,Missouri,6,131151,73202
2002,Missouri,7,149519,45964
2002,Missouri,8,135144,50686
2002,Missouri,9,146032,61126
2002,Missouri,Senate,935032,913778
2002,Nebraska,1,133013,75008*
2002,Nebraska,2,89917,46843
2002,Nebraska,3,163939,54100*
2002,Nebraska,Senate,397438,70290
2002,Nevada,1,51148,64312
2002,Nevada,2,149574,40189
2002,Nevada,3,100378,66659
2002,New Hampshire,1,128993,85426
2002,New Hampshire,2,125804,90479
2002,New Hampshire,Senate,227229,207478
2002,New Jersey,1,59107*,121846
2002,New Jersey,2,116834,47735
2002,New Jersey,3,123375,64364
2002,New Jersey,4,115293,55967
2002,New Jersey,5,118881,76504
2002,New Jersey,6,42479,91379
2002,New Jersey,7,106055,74879
2002,New Jersey,8,40318,88101
2002,New Jersey,9,42088,97108
2002,New Jersey,10,15913,86433
2002,New Jersey,11,132938,48477
2002,New Jersey,12,62938,104806
2002,New Jersey,13,16852,72605
2002,New Jersey,Senate,928439,1138193
2002,New Mexico,1,95711,77234
2002,New Mexico,2,79631,61916
2002,New Mexico,3,62364*,122921
2002,New Mexico,Senate,314193,168863
2002,New York,1,64999,81325
2002,New York,2,48239,75845
2002,New York,3,98874,46022
2002,New York,4,61473,85496
2002,New York,5,29503*,68773
2002,New York,6,8121*,68718
2002,New York,7,16460,48983
2002,New York,8,18623,71996
2002,New York,9,27882,57104
2002,New York,10,5060*,72313
2002,New York,11,9250,67967
2002,New York,12,5452*,43809
2002,New York,13,62520,27304
2002,New York,14,30053,85029
2002,New York,15,8790,77036
2002,New York,16,3916,48411
2002,New York,17,35389,73569
2002,New York,18,42949*,95396
2002,New York,19,102848,44967
2002,New York,20,125335,45878
2002,New York,21,53525,128584
2002,New York,22,52499,92336
2002,New York,23,110042,74843*
2002,New York,24,108017,106524*
2002,New York,25,113914,53290
2002,New York,26,105807,41140
2002,New York,27,105946,45060
2002,New York,28,45125,94209
2002,New York,29,116245,37128
2002,North Carolina,1,50907,93157
2002,North Carolina,2,50965,100121
2002,North Carolina,3,131448,57099*
2002,North Carolina,4,78095,132185
2002,North Carolina,5,137879,58558
2002,North Carolina,6,151430,60225*
2002,North Carolina,7,45537,118543
2002,North Carolina,8,80298,66819
2002,North Carolina,9,140095,49974
2002,North Carolina,10,102768,65587
2002,North Carolina,11,112335,86664
2002,North Carolina,12,49588,98821
2002,North Carolina,13,77688,100287
2002,North Carolina,Senate,1248664,1047983
2002,Ohio,1,110760,60168
2002,Ohio,2,139218,48785
2002,Ohio,3,111630,78307
2002,Ohio,4,120001,57726
2002,Ohio,5,126286,51872
2002,Ohio,6,77643,113972
2002,Ohio,7,113252,45568
2002,Ohio,8,119947,49444
2002,Ohio,9,46481,132236
2002,Ohio,10,41778,129997
2002,Ohio,11,36146,116590
2002,Ohio,12,116982,64707
2002,Ohio,13,55357,123025
2002,Ohio,14,134413,51846
2002,Ohio,15,108193,54286
2002,Ohio,16,129734,58644
2002,Ohio,17,62188,94441
2002,Ohio,18,125546,64201*
2002,Oklahoma,1,119566,90649
2002,Oklahoma,2,51234,146748
2002,Oklahoma,3,148206,53713*
2002,Oklahoma,4,106452,91322
2002,Oklahoma,5,121374,63208
2002,Oklahoma,Senate,583579,369789
2002,Oregon,1,80917,149215
2002,Oregon,2,181295,64991
2002,Oregon,3,62821,156851
2002,Oregon,4,90523,168150
2002,Oregon,5,113441,137713
2002,Oregon,Senate,712287,501898
2002,Pennsylvania,1,17444,121076
2002,Pennsylvania,2,20988,150623
2002,Pennsylvania,3,116763,94953*
2002,Pennsylvania,4,130534,71674
2002,Pennsylvania,5,124942,73394*
2002,Pennsylvania,6,103648,98128
2002,Pennsylvania,7,146296,75055
2002,Pennsylvania,8,127475,76178
2002,Pennsylvania,9,124184,50558
2002,Pennsylvania,10,152017,123492*
2002,Pennsylvania,11,71543,93758
2002,Pennsylvania,12,44818,124201
2002,Pennsylvania,13,100295,107945
2002,Pennsylvania,14,50509*,123323
2002,Pennsylvania,15,98493,73212
2002,Pennsylvania,16,119046,72982*
2002,Pennsylvania,17,97802,103483
2002,Pennsylvania,18,119885,79451
2002,Pennsylvania,19,143097,63491*
2002,Rhode Island,1,59370,95286
2002,Rhode Island,2,37767,129390
2002,Rhode Island,Senate,69808,253774
2002,South Carolina,1,127562,82359*
2002,South Carolina,2,144149,98560*
2002,South Carolina,3,119644,55743
2002,South Carolina,4,122422,51462
2002,South Carolina,5,78517*,121912
2002,South Carolina,6,55490,115855
2002,South Carolina,Senate,600010,487359
2002,Tennessee,1,127300,45461*
2002,Tennessee,2,146887,37035
2002,Tennessee,3,112254,58824
2002,Tennessee,4,85680,95989
2002,Tennessee,5,56825,108903
2002,Tennessee,6,57397,117119
2002,Tennessee,7,138314,51790
2002,Tennessee,8,45853,117811
2002,Tennessee,9,34313*,120904
2002,Tennessee,Senate,891498,728232
2002,Texas,1,66654,86384
2002,Texas,2,53656,85492
2002,Texas,3,113974,37503
2002,Texas,4,67939,97304
2002,Texas,5,81439,56330
2002,Texas,6,115396,45404
2002,Texas,7,96795,61603*
2002,Texas,8,140575,50666*
2002,Texas,9,59635,86710
2002,Texas,10,84222*,114428
2002,Texas,11,68236,74678
2002,Texas,12,121208,49793*
2002,Texas,13,119401,31218
2002,Texas,14,102905,48224
2002,Texas,15,41990*,66311
2002,Texas,16,39114*,72383
2002,Texas,17,77622,84136
2002,Texas,18,27980,99161
2002,Texas,19,117092,48119*
2002,Texas,20,31292*,68685
2002,Texas,21,161836,56206
2002,Texas,22,100499,55716
2002,Texas,23,77573,71067
2002,Texas,24,38332,73002
2002,Texas,25,50041,63590
2002,Texas,26,123195,37485
2002,Texas,27,41004,68559
2002,Texas,28,26973,71393
2002,Texas,29,21583*,55760
2002,Texas,30,28981,88980
2002,Texas,31,111556,44183
2002,Texas,32,100226,44886
2002,Texas,Senate,2496243,1955758
2002,Utah,1,109265,66104
2002,Utah,2,109123,110764
2002,Utah,3,103598,44533
2002,Virginia,1,113168,69127*
2002,Virginia,2,103807,94243*
2002,Virginia,3,36222*,87521
2002,Virginia,4,108733,66125*
2002,Virginia,5,95360,54805
2002,Virginia,6,105530,62746*
2002,Virginia,7,113658,49854
2002,Virginia,8,64121,102759
2002,Virginia,9,56075*,100075
2002,Virginia,10,115917,45464
2002,Virginia,11,135379,121280*
2002,Virginia,Senate,1229894,
2002,Washington,1,84696,114087
2002,Washington,2,92528,101219
2002,Washington,3,74065,119264
2002,Washington,4,108257,53572
2002,Washington,5,126757,65146
2002,Washington,6,61584,126116
2002,Washington,7,46256,156300
2002,Washington,8,121633,75931
